"Schuljahr";"Schule";"Klassen";"Schüler*innen Insgesamt";"Männlich";"Weiblich";"Nicht-deutsche Schüler*innen Insgesamt";"Schüler je Klasse "
"2024-2025";"Freie Waldorf Schule";10;343;169;174;13;34
"";"Montessori Schule";10;214;109;105;10;21
"";"Summe";20;557;278;279;23;55
"2023-2024";"Freie Waldorf Schule";13;330;164;166;14;25
"";"Montessori Schule";10;201;108;93;9;20
"";"Summe";23;531;272;259;23;45
"2022-2023";"Freie Waldorf Schule";13;341;174;167;8;·
"";"Montessori Schule";20;197;108;89;7;·
"";"Summe";33;538;282;256;15;36
"2021-2022";"Freie Waldorf Schule";13;340;223;117;·;26
"";"Montessori Schule";11;189;99;·;·;17
"";"Summe";24;529;322;·;9;43
"2020-2021";"Freie Waldorf Schule";·;346;179;167;·;·
"";"Montessori Schule";·;189;97;92;·;·
"";"Summe";13;535;276;259;9;27
"2019-2020";"Freie Waldorf Schule";·;350;183;167;·;·
"";"Montessori Schule";·;191;100;91;·;·
"";"Summe";13;541;283;258;7;27
"2018-2019";"Freie Waldorf Schule";·;346;182;164;·;·
"";"Montessori Schule";·;193;100;93;·;·
"";"Summe";13;539;282;257;10;27
"2017-2018";"Freie Waldorf Schule";·;360;185;175;7;·
"";"Montessori Schule";·;182;104;78;6;·
"";"Summe";10;542;289;253;13;36
"2016-2017";"Freie Waldorf Schule";·;340;176;164;·;·
"";"Montessori Schule";·;169;105;64;·;·
"";"Summe";12;509;281;228;10;28
"2015-2016";"Freie Waldorf Schule";·;359;176;183;·;·
"";"Montessori Schule";·;160;107;53;·;·
"";"Summe";13;519;283;236;8;28
"2014-2015";"Freie Waldorf Schule";·;354;170;184;·;·
"";"Montessori Schule";·;160;107;53;·;·
"";"Summe";12;514;277;237;·;30
"2013-2014";"Freie Waldorf Schule";·;375;182;193;·;·
"";"Montessori Schule";·;165;107;58;·;·
"";"Summe";12;540;289;251;·;31
"2012-2013";"Freie Waldorf Schule";·;395;190;205;·;·
"";"Montessori Schule";·;145;88;57;·;·
"";"Summe";13;540;278;262;·;30
"2011-2012";"Freie Waldorf Schule";·;418;192;226;·;·
"";"Montessori Schule";·;121;77;44;·;·
"";"Summe";14;539;269;270;5;30
"2010-2011";"Freie Waldorf Schule";·;435;206;229;·;·
"";"Montessori Schule";·;89;57;32;·;·
"";"Summe";13;524;263;261;5;33
"2009-2010";"Freie Waldorf Schule";·;451;208;243;·;·
"";"Montessori Schule";·;56;34;22;·;·
"";"Summe";13;507;242;265;5;35
"2008-2009";"Freie Waldorf Schule";12;461;223;238;·;38
"";"Montessori Schule";6;113;59;54;·;19
"";"Summe";18;574;282;292;7;57
"2007-2008";"Freie Waldorf Schule";·;442;208;234;·;34
"";"Montessori Schule";·;94;46;48;·;31
"";"Summe";16;536;254;282;6;65
"2006-2007";"Freie Waldorf Schule";14;426;196;230;·;30
"";"Montessori Schule";6;120;58;62;·;20
"";"Summe";20;546;254;292;5;50
"2005-2006";"Freie Waldorf Schule";14;448;200;248;·;32
"";"Montessori Schule";6;110;55;55;·;18
"";"Summe";20;558;255;303;·;50
"2004-2005";"Freie Waldorf Schule";14;452;201;251;·;32
"";"Montessori Schule";5;94;48;46;·;19
"";"Summe";19;546;249;297;·;51
"2003-2004";"Freie Waldorf Schule";·;458;206;252;·;33
"";"Montessori Schule";·;83;46;37;·;21
"";"Summe";18;541;252;289;7;54
"2002-2003";"Freie Waldorf Schule";·;443;208;235;·;32
"";"Montessori Schule";·;61;35;26;·;20
"";"Summe";17;504;243;261;14;52
"2001-2022";"Freie Waldorf Schule";·;429;205;224;·;33
"";"Montessori Schule";·;37;22;15;·;19
"";"Summe";15;466;227;239;9;52
"2000-2001";"Freie Waldorf Schule";·;421;202;219;·;32
"";"Montessori Schule";·;34;21;13;·;17
"";"Summe";15;455;223;232;5;49
"1999-2000";"Freie Waldorf Schule";·;·;·;·;·;33
"";"Montessori Schule";·;·;·;·;·;19
"";"Summe";14;451;209;242;7;52
"1998-1999";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;432;190;242;·;33
"1997-1998";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;442;190;252;·;34
"1996-1997";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;434;·;250;7;33
"1995-1996";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;439;193;246;5;34
"1994-1995";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;432;202;230;5;33
"1993-1994";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;428;200;228;12;33
"1992-1993";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;410;185;225;·;32
"1991-1992";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;385;·;·;8;30
"1990-1991";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;393;·;·;12;30
"1989-1990";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;394;·;·;11;30
"1988-1989";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";13;399;·;·;10;31
"1987-1988";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";12;379;·;·;11;32
"1986-1987";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";11;351;·;·;13;32
"1985-1986";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";10;311;·;·;9;31
"1984-1985";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";9;282;·;·;8;31
"1983-1984";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";8;249;·;·;15;31
"1982-1983";"Freie Waldorf Schule";·;·;·;·;·;·
"";"Montessori Schule";·;·;·;·;·;·
"";"Summe";7;214;·;·;8;31
"Gesamt";"2024-2025";20;557;278;279;23;55
"";"2023-2024";23;531;272;259;23;45
"";"2022-2023";33;538;282;256;15;36
"";"2021-2022";24;529;322;·;9;43
"";"2020-2021";13;535;276;259;9;27
"";"2019-2020";13;541;283;258;7;27
"";"2018-2019";13;539;282;257;10;27
"";"2017-2018";10;542;289;253;13;36
"";"2016-2017";12;509;281;228;10;28
"";"2015-2016";13;519;283;236;8;28
"";"2014-2015";12;514;277;237;·;30
"";"2013-2014";12;540;289;251;·;31
"";"2012-2013";13;540;278;262;·;30
"";"2011-2012";14;539;269;270;5;30
"";"2010-2011";13;524;263;261;5;33
"";"2009-2010";13;507;242;265;5;35
"";"2008-2009";18;574;282;292;7;57
"";"2007-2008";16;536;254;282;6;65
"";"2006-2007";20;546;254;292;5;50
"";"2005-2006";20;558;255;303;·;50
"";"2004-2005";19;546;249;297;·;51
"";"2003-2004";18;541;252;289;7;54
"";"2002-2003";17;504;243;261;14;52
"";"2001-2022";15;466;227;239;9;52
"";"2000-2001";15;455;223;232;5;49
"";"1999-2000";14;451;209;242;7;52
"";"1998-1999";13;432;190;242;·;33
"";"1997-1998";13;442;190;252;·;34
"";"1996-1997";13;434;·;250;7;33
"";"1995-1996";13;439;193;246;5;34
"";"1994-1995";13;432;202;230;5;33
"";"1993-1994";13;428;200;228;12;33
"";"1992-1993";13;410;185;225;·;32
"";"1991-1992";13;385;·;·;8;30
"";"1990-1991";13;393;·;·;12;30
"";"1989-1990";13;394;·;·;11;30
"";"1988-1989";13;399;·;·;10;31
"";"1987-1988";12;379;·;·;11;32
"";"1986-1987";11;351;·;·;13;32
"";"1985-1986";10;311;·;·;9;31
"";"1984-1985";9;282;·;·;8;31
"";"1983-1984";8;249;·;·;15;31
"";"1982-1983";7;214;·;·;8;31
"";"Freie Waldorf Schule";534;16.669;6.346;6.966;316;1.343
"";"Montessori Schule";89;3.386;1.912;1.474;48;271
"Gesamt";"";623;20.055;8.258;8.440;364;1.614
